;T;UMIN;KMH;AVG_KMH;KM_TOTAL;KM_RALLYE;KM_SECTOR;KM_SECTOR_PRESET;KM_SECTOR_TO_BE_DRIVEN;FRAC_SECTOR_DRIVEN;DEV_AVG_KMH;KMH_GPS;LAT;LON;KM_TOTAL_GPS;KM_RALLYE_GPS;KM_SECTOR_GPS
data;24,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849863167;7,844761833;0,00;0,00;0,00
data;25,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849860833;7,8447665;0,00;0,00;0,00
data;26,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849857;7,844770167;0,00;0,00;0,00
data;27,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849853833;7,844773;0,00;0,00;0,00
data;28,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849851833;7,844775833;0,00;0,00;0,00
data;29,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849848667;7,844777167;0,00;0,00;0,00
data;30,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849849;7,8447765;0,00;0,00;0,00
data;31,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849836167;7,844784167;0,00;0,00;0,00
data;32,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498315;7,844787333;0,00;0,00;0,00
data;33,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849827;7,844789333;0,00;0,00;0,00
data;34,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849820167;7,844792667;0,00;0,00;0,00
data;35,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849804333;7,844807167;0,00;0,00;0,00
data;36,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849785333;7,844823667;0,00;0,00;0,00
data;37,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849778;7,8448325;0,00;0,00;0,00
data;38,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849778333;7,8448355;0,00;0,00;0,00
data;39,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497755;7,844841667;0,00;0,00;0,00
data;40,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849769167;7,844847;0,00;0,00;0,00
